Par,Origem ID,Origem,Destino ID,Destino,Distância reta (km),Modo recomendado,Tempo estimado (min),Tempo planejamento (min),Confiança,Observação
L28-L32,L28,Chinatown — Columbus Park,L32,Brooklyn Heights Promenade,1.96,Metrô + caminhada,23,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L29-L30,L29,Brooklyn Bridge,L30,DUMBO — Washington & Water,0.62,Caminhada,12,14,Alta,Mesmo cluster; tempo operacional curto.
L29-L31,L29,Brooklyn Bridge,L31,Brooklyn Bridge Park — Pier 1,0.39,Caminhada,10,12,Alta,Mesmo cluster; tempo operacional curto.
L29-L32,L29,Brooklyn Bridge,L32,Brooklyn Heights Promenade,0.9,Caminhada,19,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L30-L31,L30,DUMBO — Washington & Water,L31,Brooklyn Bridge Park — Pier 1,0.58,Caminhada,8,10,Alta,Mesmo cluster; tempo operacional curto.
L30-L32,L30,DUMBO — Washington & Water,L32,Brooklyn Heights Promenade,0.88,Caminhada,10,15,Alta,Mesmo cluster; tempo operacional curto.
L31-L32,L31,Brooklyn Bridge Park — Pier 1,L32,Brooklyn Heights Promenade,0.5,Caminhada,10,12,Alta,Mesmo cluster; tempo operacional curto.
L01-L33,L01,Hotel — 340 W 40th St,L33,Chrysler Building,1.60,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L34,L01,Hotel — 340 W 40th St,L34,Central Park — South / The Pond,1.94,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L35,L01,Hotel — 340 W 40th St,L35,Apple Fifth Avenue,1.86,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L36,L01,Hotel — 340 W 40th St,L36,SoHo — Prince & Broadway,3.66,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L37,L01,Hotel — 340 W 40th St,L37,Pearl River Mart,3.90,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L38,L01,Hotel — 340 W 40th St,L38,Intrepid Museum,1.00,Caminhada,15,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L39,L01,Hotel — 340 W 40th St,L39,Hudson River Greenway — Midtown,1.09,Caminhada,16,25,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L40,L01,Hotel — 340 W 40th St,L40,Hudson Yards,0.88,Caminhada,13,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L41,L01,Hotel — 340 W 40th St,L41,The Oculus,5.27,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L42,L01,Hotel — 340 W 40th St,L42,9/11 Memorial & Museum,5.32,Metrô/ônibus + caminhada,26,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L43,L01,Hotel — 340 W 40th St,L43,Wall Street / NYSE,5.77,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L44,L01,Hotel — 340 W 40th St,L44,Trinity Church,5.67,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L01-L45,L01,Hotel — 340 W 40th St,L45,Bathhouse Flatiron,1.91,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L33,L02,The Mills at Jersey Gardens,L33,Chrysler Building,19.41,Ônibus intermunicipal + caminhada,72,90,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L34,L02,The Mills at Jersey Gardens,L34,Central Park — South / The Pond,20.44,Ônibus intermunicipal + caminhada,74,90,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L35,L02,The Mills at Jersey Gardens,L35,Apple Fifth Avenue,20.33,Ônibus intermunicipal + caminhada,73,90,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L36,L02,The Mills at Jersey Gardens,L36,SoHo — Prince & Broadway,16.29,Ônibus intermunicipal + caminhada,68,85,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L37,L02,The Mills at Jersey Gardens,L37,Pearl River Mart,16.02,Ônibus intermunicipal + caminhada,67,85,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L38,L02,The Mills at Jersey Gardens,L38,Intrepid Museum,18.57,Ônibus intermunicipal + caminhada,71,90,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L39,L02,The Mills at Jersey Gardens,L39,Hudson River Greenway — Midtown,17.53,Ônibus intermunicipal + caminhada,70,85,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L40,L02,The Mills at Jersey Gardens,L40,Hudson Yards,17.63,Ônibus intermunicipal + caminhada,70,85,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L41,L02,The Mills at Jersey Gardens,L41,The Oculus,14.67,Ônibus intermunicipal + caminhada,66,85,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L42,L02,The Mills at Jersey Gardens,L42,9/11 Memorial & Museum,14.52,Ônibus intermunicipal + caminhada,65,80,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L43,L02,The Mills at Jersey Gardens,L43,Wall Street / NYSE,14.48,Ônibus intermunicipal + caminhada,65,80,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L44,L02,The Mills at Jersey Gardens,L44,Trinity Church,14.46,Ônibus intermunicipal + caminhada,65,80,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L02-L45,L02,The Mills at Jersey Gardens,L45,Bathhouse Flatiron,17.68,Ônibus intermunicipal + caminhada,70,85,Baixa/Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L33,L03,American Museum of Natural History,L33,Chrysler Building,3.30,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L34,L03,American Museum of Natural History,L34,Central Park — South / The Pond,1.65,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L35,L03,American Museum of Natural History,L35,Apple Fifth Avenue,1.95,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L36,L03,American Museum of Natural History,L36,SoHo — Prince & Broadway,6.66,Metrô + caminhada,34,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L37,L03,American Museum of Natural History,L37,Pearl River Mart,6.92,Metrô + caminhada,35,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L38,L03,American Museum of Natural History,L38,Intrepid Museum,2.85,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L39,L03,American Museum of Natural History,L39,Hudson River Greenway — Midtown,3.93,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L40,L03,American Museum of Natural History,L40,Hudson Yards,3.91,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L41,L03,American Museum of Natural History,L41,The Oculus,8.37,Metrô + caminhada,39,50,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L42,L03,American Museum of Natural History,L42,9/11 Memorial & Museum,8.44,Metrô + caminhada,39,50,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L43,L03,American Museum of Natural History,L43,Wall Street / NYSE,8.85,Metrô + caminhada,41,55,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L44,L03,American Museum of Natural History,L44,Trinity Church,8.76,Metrô + caminhada,40,50,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L03-L45,L03,American Museum of Natural History,L45,Bathhouse Flatiron,4.80,Metrô/ônibus + caminhada,24,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L33,L04,New York Aquarium,L33,Chrysler Building,19.71,Metrô + caminhada,73,90,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L34,L04,New York Aquarium,L34,Central Park — South / The Pond,21.36,Metrô + caminhada,78,95,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L35,L04,New York Aquarium,L35,Apple Fifth Avenue,21.07,Metrô + caminhada,77,95,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L36,L04,New York Aquarium,L36,SoHo — Prince & Broadway,16.77,Metrô + caminhada,64,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L37,L04,New York Aquarium,L37,Pearl River Mart,16.58,Metrô + caminhada,64,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L38,L04,New York Aquarium,L38,Intrepid Museum,21.24,Metrô + caminhada,78,95,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L39,L04,New York Aquarium,L39,Hudson River Greenway — Midtown,20.31,Metrô + caminhada,75,90,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L40,L04,New York Aquarium,L40,Hudson Yards,20.08,Metrô + caminhada,74,90,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L41,L04,New York Aquarium,L41,The Oculus,15.56,Metrô + caminhada,61,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L42,L04,New York Aquarium,L42,9/11 Memorial & Museum,15.59,Metrô + caminhada,61,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L43,L04,New York Aquarium,L43,Wall Street / NYSE,15.04,Metrô + caminhada,59,70,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L44,L04,New York Aquarium,L44,Trinity Church,15.19,Metrô + caminhada,60,70,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L04-L45,L04,New York Aquarium,L45,Bathhouse Flatiron,18.45,Metrô + caminhada,69,85,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L33,L05,Coney Island Boardwalk,L33,Chrysler Building,19.83,Metrô + caminhada,73,90,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L34,L05,Coney Island Boardwalk,L34,Central Park — South / The Pond,21.48,Metrô + caminhada,78,95,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L35,L05,Coney Island Boardwalk,L35,Apple Fifth Avenue,21.19,Metrô + caminhada,78,95,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L36,L05,Coney Island Boardwalk,L36,SoHo — Prince & Broadway,16.86,Metrô + caminhada,65,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L37,L05,Coney Island Boardwalk,L37,Pearl River Mart,16.67,Metrô + caminhada,64,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L38,L05,Coney Island Boardwalk,L38,Intrepid Museum,21.34,Metrô + caminhada,78,95,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L39,L05,Coney Island Boardwalk,L39,Hudson River Greenway — Midtown,20.39,Metrô + caminhada,75,90,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L40,L05,Coney Island Boardwalk,L40,Hudson Yards,20.17,Metrô + caminhada,74,90,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L41,L05,Coney Island Boardwalk,L41,The Oculus,15.62,Metrô + caminhada,61,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L42,L05,Coney Island Boardwalk,L42,9/11 Memorial & Museum,15.65,Metrô + caminhada,61,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L43,L05,Coney Island Boardwalk,L43,Wall Street / NYSE,15.10,Metrô + caminhada,59,70,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L44,L05,Coney Island Boardwalk,L44,Trinity Church,15.25,Metrô + caminhada,60,70,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L05-L45,L05,Coney Island Boardwalk,L45,Bathhouse Flatiron,18.56,Metrô + caminhada,70,85,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L33,L06,QC NY Spa,L33,Chrysler Building,7.44,Ferry + metrô/ônibus/caminhada,52,65,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L34,L06,QC NY Spa,L34,Central Park — South / The Pond,8.98,Ferry + metrô/ônibus/caminhada,57,70,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L35,L06,QC NY Spa,L35,Apple Fifth Avenue,8.75,Ferry + metrô/ônibus/caminhada,56,70,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L36,L06,QC NY Spa,L36,SoHo — Prince & Broadway,3.87,Ferry + metrô/ônibus/caminhada,42,55,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L37,L06,QC NY Spa,L37,Pearl River Mart,3.59,Ferry + metrô/ônibus/caminhada,41,55,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L38,L06,QC NY Spa,L38,Intrepid Museum,8.11,Ferry + metrô/ônibus/caminhada,54,65,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L39,L06,QC NY Spa,L39,Hudson River Greenway — Midtown,7.04,Ferry + metrô/ônibus/caminhada,51,65,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L40,L06,QC NY Spa,L40,Hudson Yards,6.88,Ferry + metrô/ônibus/caminhada,51,65,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L41,L06,QC NY Spa,L41,The Oculus,2.14,Ferry + metrô/ônibus/caminhada,36,50,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L42,L06,QC NY Spa,L42,9/11 Memorial & Museum,2.11,Ferry + metrô/ônibus/caminhada,36,50,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L43,L06,QC NY Spa,L43,Wall Street / NYSE,1.65,Ferry + metrô/ônibus/caminhada,35,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L44,L06,QC NY Spa,L44,Trinity Church,1.75,Ferry + metrô/ônibus/caminhada,35,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L06-L45,L06,QC NY Spa,L45,Bathhouse Flatiron,5.73,Ferry + metrô/ônibus/caminhada,47,60,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L33,L07,WORLD SPA,L33,Chrysler Building,15.16,Metrô + caminhada,59,70,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L34,L07,WORLD SPA,L34,Central Park — South / The Pond,16.81,Metrô + caminhada,64,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L35,L07,WORLD SPA,L35,Apple Fifth Avenue,16.52,Metrô + caminhada,64,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L36,L07,WORLD SPA,L36,SoHo — Prince & Broadway,12.24,Metrô + caminhada,51,65,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L37,L07,WORLD SPA,L37,Pearl River Mart,12.06,Metrô + caminhada,50,60,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L38,L07,WORLD SPA,L38,Intrepid Museum,16.71,Metrô + caminhada,64,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L39,L07,WORLD SPA,L39,Hudson River Greenway — Midtown,15.79,Metrô + caminhada,61,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L40,L07,WORLD SPA,L40,Hudson Yards,15.55,Metrô + caminhada,61,80,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L41,L07,WORLD SPA,L41,The Oculus,11.10,Metrô + caminhada,47,60,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L42,L07,WORLD SPA,L42,9/11 Memorial & Museum,11.15,Metrô + caminhada,47,60,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L43,L07,WORLD SPA,L43,Wall Street / NYSE,10.60,Metrô + caminhada,46,60,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L44,L07,WORLD SPA,L44,Trinity Church,10.74,Metrô + caminhada,46,60,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L07-L45,L07,WORLD SPA,L45,Bathhouse Flatiron,13.91,Metrô + caminhada,56,70,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L33,L08,ARTE MUSEUM New York,L33,Chrysler Building,2.99,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L34,L08,ARTE MUSEUM New York,L34,Central Park — South / The Pond,3.74,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L35,L08,ARTE MUSEUM New York,L35,Apple Fifth Avenue,3.65,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L36,L08,ARTE MUSEUM New York,L36,SoHo — Prince & Broadway,2.81,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L37,L08,ARTE MUSEUM New York,L37,Pearl River Mart,2.94,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L38,L08,ARTE MUSEUM New York,L38,Intrepid Museum,2.10,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L39,L08,ARTE MUSEUM New York,L39,Hudson River Greenway — Midtown,0.97,Caminhada,14,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L40,L08,ARTE MUSEUM New York,L40,Hudson Yards,0.95,Caminhada,14,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L41,L08,ARTE MUSEUM New York,L41,The Oculus,4.00,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L42,L08,ARTE MUSEUM New York,L42,9/11 Memorial & Museum,4.01,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L43,L08,ARTE MUSEUM New York,L43,Wall Street / NYSE,4.52,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L44,L08,ARTE MUSEUM New York,L44,Trinity Church,4.39,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L08-L45,L08,ARTE MUSEUM New York,L45,Bathhouse Flatiron,1.91,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L33,L09,Chelsea Market,L33,Chrysler Building,2.70,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L34,L09,Chelsea Market,L34,Central Park — South / The Pond,3.77,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L35,L09,Chelsea Market,L35,Apple Fifth Avenue,3.62,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L36,L09,Chelsea Market,L36,SoHo — Prince & Broadway,2.07,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L37,L09,Chelsea Market,L37,Pearl River Mart,2.23,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L38,L09,Chelsea Market,L38,Intrepid Museum,2.54,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L39,L09,Chelsea Market,L39,Hudson River Greenway — Midtown,1.50,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L40,L09,Chelsea Market,L40,Hudson Yards,1.31,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L41,L09,Chelsea Market,L41,The Oculus,3.43,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L42,L09,Chelsea Market,L42,9/11 Memorial & Museum,3.46,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L43,L09,Chelsea Market,L43,Wall Street / NYSE,3.95,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L44,L09,Chelsea Market,L44,Trinity Church,3.83,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L09-L45,L09,Chelsea Market,L45,Bathhouse Flatiron,1.26,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L33,L10,High Line — Chelsea/Gansevoort,L33,Chrysler Building,2.92,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L34,L10,High Line — Chelsea/Gansevoort,L34,Central Park — South / The Pond,3.93,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L35,L10,High Line — Chelsea/Gansevoort,L35,Apple Fifth Avenue,3.79,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L36,L10,High Line — Chelsea/Gansevoort,L36,SoHo — Prince & Broadway,2.17,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L37,L10,High Line — Chelsea/Gansevoort,L37,Pearl River Mart,2.30,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L38,L10,High Line — Chelsea/Gansevoort,L38,Intrepid Museum,2.58,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L39,L10,High Line — Chelsea/Gansevoort,L39,Hudson River Greenway — Midtown,1.49,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L40,L10,High Line — Chelsea/Gansevoort,L40,Hudson Yards,1.35,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L41,L10,High Line — Chelsea/Gansevoort,L41,The Oculus,3.42,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L42,L10,High Line — Chelsea/Gansevoort,L42,9/11 Memorial & Museum,3.44,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L43,L10,High Line — Chelsea/Gansevoort,L43,Wall Street / NYSE,3.94,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L44,L10,High Line — Chelsea/Gansevoort,L44,Trinity Church,3.81,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L10-L45,L10,High Line — Chelsea/Gansevoort,L45,Bathhouse Flatiron,1.50,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L33,L11,Little Island,L33,Chrysler Building,3.14,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L34,L11,Little Island,L34,Central Park — South / The Pond,4.12,Metrô/ônibus + caminhada,22,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L35,L11,Little Island,L35,Apple Fifth Avenue,3.99,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L36,L11,Little Island,L36,SoHo — Prince & Broadway,2.26,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L37,L11,Little Island,L37,Pearl River Mart,2.36,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L38,L11,Little Island,L38,Intrepid Museum,2.67,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L39,L11,Little Island,L39,Hudson River Greenway — Midtown,1.55,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L40,L11,Little Island,L40,Hudson Yards,1.46,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L41,L11,Little Island,L41,The Oculus,3.39,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L42,L11,Little Island,L42,9/11 Memorial & Museum,3.39,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L43,L11,Little Island,L43,Wall Street / NYSE,3.91,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L44,L11,Little Island,L44,Trinity Church,3.78,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L11-L45,L11,Little Island,L45,Bathhouse Flatiron,1.73,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L33,L12,MoMA,L33,Chrysler Building,1.12,Caminhada,16,25,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L34,L12,MoMA,L34,Central Park — South / The Pond,0.62,Caminhada,10,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L35,L12,MoMA,L35,Apple Fifth Avenue,0.46,Caminhada,8,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
